sample_id	file	total_mass	internal_scale	external_scale
Lung_0	ERR315424/cuffquant_out/abundances.cxb	5.37423e+06	0.799786	1
Lung_1	ERR315439/cuffquant_out/abundances.cxb	3.18217e+06	0.483091	1
Lung_2	ERR315444/cuffquant_out/abundances.cxb	3.23732e+06	0.495247	1
Lung_3	ERR315487/cuffquant_out/abundances.cxb	8.52795e+06	1.29002	1
Stomach_0	ERR315369/cuffquant_out/abundances.cxb	9.5365e+06	1.20366	1
Stomach_1	ERR315379/cuffquant_out/abundances.cxb	1.43229e+07	2.06384	1
Stomach_2	ERR315467/cuffquant_out/abundances.cxb	1.2824e+07	1.59378	1
Stomach_3	ERR315485/cuffquant_out/abundances.cxb	9.32885e+06	1.17235	1
Heart_0	ERR315328/cuffquant_out/abundances.cxb	1.01485e+07	0.755533	1
Heart_1	ERR315331/cuffquant_out/abundances.cxb	1.151e+07	1.00466	1
Heart_2	ERR315356/cuffquant_out/abundances.cxb	1.28709e+07	1.09937	1
Heart_3	ERR315367/cuffquant_out/abundances.cxb	1.16787e+07	1.02451	1
